build,semantic,date,url
"102","0.1.0","March 15, 2018","docs/0.1.0"
"143","0.2.0","August 23, 2018","docs/0.2.0"
"164","0.2.1","August 28, 2018","docs/0.2.1"
"189","0.3.0","September 4, 2018","docs/0.3.0"
"213","0.3.1","January 25, 2019","docs/0.3.1"
"225","0.3.2","February 1, 2019","docs/0.3.2"
"229","0.3.3","February 1, 2019","docs/0.3.3"
"237","0.3.4","March 7, 2019","docs/0.3.4"
"256","0.4.0","April 7, 2019","docs/0.4.0"
"286","0.4.2","August 21, 2019","docs/0.4.2"
"288","0.4.3","August 23, 2019","docs/0.4.3"
"308","0.4.4","September 2, 2019","docs/0.4.4"
"403","0.5.0","January 3, 2020","docs/0.5.0"
"443","0.5.1","January 13, 2020","docs/0.5.1"
"494","0.5.2","July 19, 2022","docs/0.5.2"
